question_id,category,question,golden_answer,source_document,chunk_id,similarity_score,confidence_score,keywords_used,coverage_status,reason_if_missing,missing_topic,possible_document_required
68,Faculty,Who is the HOD of Information Technology at UIET?,"ABOUT University Institute of Engineering and Technology (UIET) :- The School of Engineering and Technology (UIET) at Chhatrapati Shahu Ji Maharaj University, Kanpur, is dedicated to providing quality  technical education and fostering innovation, research, and professional excellence. The school offers undergraduate and postgraduate programs in various engineering and technology disciplines, designed to equip students with strong theoretical kno...",about_csjm.txt,chunk_3,0.77,0.8,"['hod', 'technology']",Covered,,,
69,Faculty,Who is the HOD of ECE at UIET?,The HOD of Electronics & Communication Engineering at UIET is Dr. Ajeet Kumar Srivastava.,uiet_teachers.json,chunk_hod,0.95,0.98,"['hod', 'ece']",Covered,,,
70,Faculty,Who is the HOD of Chemical Engineering at UIET?,The HOD of Chemical Engineering at UIET is Dr. Abhishek Kumar Chandra.,uiet_teachers.json,chunk_hod,0.95,0.98,"['hod', 'chemical', 'engineering']",Covered,,,
71,Faculty,Who is the HOD of Mechanical Engineering at UIET?,The HOD of Mechanical Engineering at UIET is Er. Ranbir Mukhya.,uiet_teachers.json,chunk_hod,0.95,0.98,"['hod', 'mechanical', 'engineering']",Covered,,,
72,Faculty,Who is the HOD of Metallurgical Engineering at UIET?,The HOD of Materials Science & Metallurgical Engineering at UIET is Dr. Vijay Kumar Kashyap.,uiet_teachers.json,chunk_hod,0.95,0.98,"['hod', 'metallurgical', 'engineering']",Covered,,,
73,Faculty,Give information about Dr. Vishal Awasthi.,"Dr. Vishal Awasthi is a faculty member in the Electronics and Communication Engineering (ECE) department at UIET Kanpur. Dr. Vishal Awasthi is an Associate Professor in the Department of Electronics and Communication Engineering at CSJM University, Kanpur. He holds a Ph.D. from Uttar Pradesh Technical University (UPTU), Lucknow and an M.Tech from Harcourt Butler Technical University (HBTU), Kanpur. His research interests include Computer Arithmetic and Digital Signal Processing. He is actively involved in teaching and academic work in core areas of electronics and communication engineering.",uiet_teachers.json,chunk_teacher,0.96,0.98,"['vishal', 'awasthi']",Covered,,,
74,Faculty,Give information about Dr. Ramendra Singh Niranjan.,"Dr. Ramendra Singh Niranjan is a faculty member in the Mechanical Engineering (MEE) department at UIET Kanpur. Dr. Ramendra Singh Niranjan is an Associate Professor Mechanical Engineering at CSJM University, Kanpur. He holds a B.Tech and M.Tech (CAD) from HBTI, Kanpur, and has submitted his Ph.D. thesis in Mechanical Engineering from AKTU, Lucknow. His research interests include Micro Machining and Heat Transfer in micro components. He is actively involved in teaching, research, and academic administration in mechanical engineering.",uiet_teachers.json,chunk_teacher,0.96,0.98,"['ramendra', 'singh', 'niranjan']",Covered,,,
75,Faculty,What is the contact email of Dr. Vishal Awasthi?,"Dr. Vishal Awasthi is a faculty member in the Electronics and Communication Engineering (ECE) department at UIET Kanpur. Dr. Vishal Awasthi is an Associate Professor in the Department of Electronics and Communication Engineering at CSJM University, Kanpur. He holds a Ph.D. from Uttar Pradesh Technical University (UPTU), Lucknow and an M.Tech from Harcourt Butler Technical University (HBTU), Kanpur. His research interests include Computer Arithmetic and Digital Signal Processing. He is actively involved in teaching and academic work in core areas of electronics and communication engineering.",uiet_teachers.json,chunk_teacher,0.96,0.98,"['contact', 'email', 'vishal', 'awasthi']",Covered,,,
76,Faculty,What is the profile URL of faculty members in UIET?,"ABOUT University Institute of Engineering and Technology (UIET) :- The School of Engineering and Technology (UIET) at Chhatrapati Shahu Ji Maharaj University, Kanpur, is dedicated to providing quality  technical education and fostering innovation, research, and professional excellence. The school offers undergraduate and postgraduate programs in various engineering and technology disciplines, designed to equip students with strong theoretical kno...",about_csjm.txt,chunk_3,0.77,0.8,"['profile', 'url', 'faculty', 'members']",Covered,,,
77,Faculty,Who are the faculty members in the Department of Computer Science & Engineering?,"Department of Computer Science & Engineering (CSE) was established in 1996. Established in 1996 with the inception of the Institute, the department has evolved into a dynamic center for teaching, research, and innovation, significantly expanding its infrastructure, laboratory facilities, and academic offerings in line with emerging technological trends. The key highlights of the department are Not Available. The department specializes in Not Avai...",departments_of_uiet.json,chunk_0,0.89,0.9,"['faculty', 'members', 'department', 'computer', 'science', 'engineering']",Covered,,,
78,Faculty,Who are the faculty members in the Department of Chemical Engineering?,"Department of Chemical Engineering (CHE) was established in 1996. Established in 1996 in UIET, CSJM University, to provide competent and well-trained professionals for the chemical industries of the country. The key highlights of the department are Not Available. The department specializes in Not Available. The department has the following laboratories: Not Available. The department offers the following courses: Not Available.",departments_of_uiet.json,chunk_3,0.81,0.83,"['faculty', 'members', 'department', 'chemical', 'engineering']",Covered,,,
79,Faculty,Who are the faculty members in the Department of Mechanical Engineering?,"Dr. Gaurav Kumar Pandey holds the position of Head of department(hod) of Mechanical Engineering(ME) at CSJMU. Contact: email gauravkpandey@csjmu.ac.in, mobile 9889709786. More info: https://csjmu.ac.in/all-faculty/dr-gaurav-kumar-pandey/.",uiet_designation.json,chunk_7,0.88,0.89,"['faculty', 'members', 'department', 'mechanical', 'engineering']",Covered,,,
80,Faculty,Who are the faculty members in the Electronics department?,"Er. Anand Kumar Gupta sir is professor in the Electronics and Communication Engineering (ECE) department Er. Anand Kumar Gupta is an Assistant Professor in the Department of Electronics and Communication Engineering at CSJM University, Kanpur. He holds an M.Tech in Microelectronics and a B.E. in Electronics. His academic and teaching work focuses on core areas of electronics and communication engineering. He is actively involved in teaching, rese...",uiet_teachers.json,chunk_20,0.77,0.8,"['faculty', 'members', 'electronics', 'department']",Covered,,,
81,Faculty,List the faculty members in Materials Science & Metallurgical Engineering.,Department of Materials Science & Metallurgical Engineering was established in 2004. Established in 2004 as Materials Science and Engineering and later renamed as Materials Science and Metallurgical Engineering. It is the second Institute in this region (other than IIT-Kanpur) offering an undergraduate course in this domain. The key highlights of the department are Not Available. The department specializes in Not Available. The department has the...,departments_of_uiet.json,chunk_5,0.83,0.85,"['faculty', 'members', 'materials', 'science', 'metallurgical', 'engineering']",Covered,,,
82,Faculty,Who is the Dean of Academic Affairs at CSJMU?,"Dr. Brishti Mitra holds the position of DEAN ACADEMICS OF CHHATRAPATI SAHU JI MAHARAJ UNIVERSITY(CSJMU) at CSJMU. Contact: email dean_acad@csjmu.ac.in, mobile 9935167873. More info: https://csjmu.ac.in/all-faculty/dr-brishti-mitra/. Dr. Alok Kumar holds the position of Director of University Institute of Engineering and Technology (UIET) at CSJMU. Contact: email director.uiet@csjmu.ac.in, mobile 7007713064. More info: https://csjmu.ac.in/all-facu...",uiet_designation.json,chunk_0,0.83,0.85,"['dean', 'academic', 'affairs']",Covered,,,
83,Faculty,Who is the Dean of Student Welfare (DSW)?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['dean', 'student', 'welfare', 'dsw']",Missing,No document in the knowledge base addresses this specific question regarding Faculty.,Faculty Information,csjmu_faculty_handbook.pdf
84,Faculty,Who is the Registrar of CSJMU?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,['registrar'],Missing,No document in the knowledge base addresses this specific question regarding Faculty.,Faculty Information,csjmu_faculty_handbook.pdf
85,Faculty,Who is the Vice-Chancellor of CSJMU?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,['vice-chancellor'],Missing,No document in the knowledge base addresses this specific question regarding Faculty.,Faculty Information,csjmu_faculty_handbook.pdf
86,Hostel,What hostel facilities are available at CSJMU?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['hostel', 'facilities', 'available']",Covered,,,
87,Hostel,What are the names of the boys hostels at CSJMU?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['boys', 'hostels']",Covered,,,
88,Hostel,What are the names of the girls hostels at CSJMU?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['girls', 'hostels']",Covered,,,
89,Hostel,Is there a separate hostel for UIET students?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['there', 'separate', 'hostel', 'students']",Covered,,,
90,Hostel,What is the curfew timing for girls hostels?,"The current hostel document (hostel.txt) outlines general hostel rules and basic amenities but lacks specific fee breakdowns, mess fees, security deposit amounts, refund policies, and 24/7 security room numbers.",hostel.txt,chunk_1,0.55,0.5,"['curfew', 'timing', 'girls', 'hostels']",Missing,"No hostel fee matrix, mess fee details, security deposit rules, or 24/7 security helpline numbers present in hostel.txt.",Hostel Fees & Rules,csjmu_hostel_fee_matrix_and_helpline.pdf
91,Hostel,What is the curfew timing for boys hostels?,"The current hostel document (hostel.txt) outlines general hostel rules and basic amenities but lacks specific fee breakdowns, mess fees, security deposit amounts, refund policies, and 24/7 security room numbers.",hostel.txt,chunk_1,0.55,0.5,"['curfew', 'timing', 'boys', 'hostels']",Missing,"No hostel fee matrix, mess fee details, security deposit rules, or 24/7 security helpline numbers present in hostel.txt.",Hostel Fees & Rules,csjmu_hostel_fee_matrix_and_helpline.pdf
92,Hostel,What facilities are provided inside hostel rooms?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['facilities', 'provided', 'inside', 'hostel', 'rooms']",Covered,,,
93,Hostel,Is Wi-Fi available in CSJMU hostels?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['wi-fi', 'available', 'hostels']",Covered,,,
94,Hostel,Is mess facility included in hostel accommodation?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['mess', 'facility', 'included', 'hostel', 'accommodation']",Covered,,,
95,Hostel,What is the anti-ragging policy in CSJMU hostels?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['anti-ragging', 'policy', 'hostels']",Covered,,,
96,Hostel,How are hostel seats allotted to students?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['hostel', 'seats', 'allotted', 'students']",Covered,,,
97,Hostel,What documents are required during hostel possession?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['documents', 'required', 'hostel', 'possession']",Covered,,,
98,Hostel,What is the contact email for hostel helpdesk?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['contact', 'email', 'hostel', 'helpdesk']",Covered,,,
99,Hostel,What is the 24/7 security control room number for hostels?,"The current hostel document (hostel.txt) outlines general hostel rules and basic amenities but lacks specific fee breakdowns, mess fees, security deposit amounts, refund policies, and 24/7 security room numbers.",hostel.txt,chunk_1,0.55,0.5,"['security', 'control', 'room', 'number', 'hostels']",Missing,"No hostel fee matrix, mess fee details, security deposit rules, or 24/7 security helpline numbers present in hostel.txt.",Hostel Fees & Rules,csjmu_hostel_fee_matrix_and_helpline.pdf
100,Hostel,Are overnight guests allowed in student hostel rooms?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['overnight', 'guests', 'allowed', 'student', 'hostel', 'rooms']",Covered,,,
101,Placements,How is the placement record at CSJMU & UIET Kanpur?,"Placement Cell details: Chhatrapati Shahuji Maharaj University Placement Cell Overview
General Information:
A++ NAAC accredited
QS World University Rankings recognition


Campus Recruitment 2023-24:
Campus Drives: 84+
Number of Selections: 419+ (Campus / off Campus & Virtual Drive)


Campus Recruitment 2024-25 (Ongoing):
C...",placements.txt,chunk_1,0.78,0.82,"['placement', 'record']",Covered,,,
102,Placements,What is the highest package offered at UIET Kanpur?,"The placements document (placements.txt) mentions training and placement cell activities but lacks numerical placement statistics, highest/average packages, and branch-wise placement reports.",placements.txt,chunk_1,0.58,0.52,"['highest', 'package', 'offered']",Missing,"No placement statistics, package numbers, or company-wise placement reports present in placements.txt.",Placement Statistics & Packages,csjmu_placement_report_2024_2025.pdf
103,Placements,What is the average package for B.Tech CSE students?,"The placements document (placements.txt) mentions training and placement cell activities but lacks numerical placement statistics, highest/average packages, and branch-wise placement reports.",placements.txt,chunk_1,0.58,0.52,"['average', 'package', 'b.tech', 'cse', 'students']",Missing,"No placement statistics, package numbers, or company-wise placement reports present in placements.txt.",Placement Statistics & Packages,csjmu_placement_report_2024_2025.pdf
104,Placements,Which top companies visit CSJMU for campus recruitment?,Campus Recruitment 2023-24: Campus Drives: 84+ Number of Selections: 419+ (Campus / off Campus & Virtual Drive),placements.txt,chunk_2,0.55,0.5,"['top', 'companies', 'visit', 'campus', 'recruitment']",Partial,Document provides partial context but lacks complete answer details.,Placements Details,csjmu_placements_extended_info.pdf
105,Placements,Does CSJMU have a Training and Placement Cell?,"Placement Cell details: Chhatrapati Shahuji Maharaj University Placement Cell Overview
General Information:
A++ NAAC accredited
QS World University Rankings recognition


Campus Recruitment 2023-24:
Campus Drives: 84+
Number of Selections: 419+ (Campus / off Campus & Virtual Drive)


Campus Recruitment 2024-25 (Ongoing):
C...",placements.txt,chunk_1,0.78,0.82,"['training', 'placement', 'cell']",Covered,,,
106,Placements,Are internships provided to engineering students?,"Career Opportunities and Recruiters by Department of UIET :-  a) Computer Science & Engineering (CSE and CSE-AI): Graduates of the department are working in top ranked international and national companies like IBM, SAP, CISCO, Samsung, Infosys, Accenture, Swiggy, Big Basket etc. b) Electronics & Communication Engineering (ECE): Graduates from the department can find employment as Network Engineers, Voice Engineers, Server Administrators, Wireless...",placements.txt,chunk_6,0.77,0.8,"['internships', 'provided', 'engineering', 'students']",Covered,,,
107,Placements,Is industrial training mandatory for B.Tech students?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['industrial', 'training', 'mandatory', 'b.tech', 'students']",Missing,No document in the knowledge base addresses this specific question regarding Placements.,Placements Information,csjmu_placements_handbook.pdf
108,Placements,What major recruiting companies hire from Chemical Engineering?,"Career Opportunities and Recruiters by Department of UIET :-  a) Computer Science & Engineering (CSE and CSE-AI): Graduates of the department are working in top ranked international and national companies like IBM, SAP, CISCO, Samsung, Infosys, Accenture, Swiggy, Big Basket etc. b) Electronics & Communication Engineering (ECE): Graduates from the department can find employment as Network Engineers, Voice Engineers, Server Administrators, Wireless...",placements.txt,chunk_6,0.77,0.8,"['major', 'recruiting', 'companies', 'hire', 'chemical', 'engineering']",Covered,,,
109,Placements,What companies hire from Mechanical Engineering?,"Career Opportunities and Recruiters by Department of UIET :-  a) Computer Science & Engineering (CSE and CSE-AI): Graduates of the department are working in top ranked international and national companies like IBM, SAP, CISCO, Samsung, Infosys, Accenture, Swiggy, Big Basket etc. b) Electronics & Communication Engineering (ECE): Graduates from the department can find employment as Network Engineers, Voice Engineers, Server Administrators, Wireless...",placements.txt,chunk_6,0.86,0.88,"['companies', 'hire', 'mechanical', 'engineering']",Covered,,,
110,Placements,What placement assistance is provided to MBA graduates?,"Placement Cell details: Chhatrapati Shahuji Maharaj University Placement Cell Overview
General Information:
A++ NAAC accredited
QS World University Rankings recognition


Campus Recruitment 2023-24:
Campus Drives: 84+
Number of Selections: 419+ (Campus / off Campus & Virtual Drive)


Campus Recruitment 2024-25 (Ongoing):
C...",placements.txt,chunk_1,0.78,0.82,"['placement', 'assistance', 'provided', 'mba', 'graduates']",Covered,,,
111,Facilities,What sports facilities exist at CSJMU?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall,facilities_at_csjm.txt,chunk_1,0.83,0.85,"['sports', 'facilities', 'exist']",Covered,,,
112,Facilities,What are the dimensions of the swimming pool at CSJMU?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall  Csjmu Student Hobby Club- 1) Cultural Club 2) Fitness Club 3) Gardening Club 4) Photography Club 5) Literary Club 6) Robots and Drone Club 7) Cooking Club 8) Coding Club  Note: 10% supernumerary seats are available in all pro...,facilities_at_csjm.txt,chunk_0,0.83,0.85,"['dimensions', 'swimming', 'pool']",Covered,,,
113,Facilities,What diving platform heights exist at the CSJMU swimming pool?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall  Csjmu Student Hobby Club- 1) Cultural Club 2) Fitness Club 3) Gardening Club 4) Photography Club 5) Literary Club 6) Robots and Drone Club 7) Cooking Club 8) Coding Club  Note: 10% supernumerary seats are available in all pro...,facilities_at_csjm.txt,chunk_0,0.77,0.8,"['diving', 'platform', 'heights', 'exist', 'swimming', 'pool']",Covered,,,
114,Facilities,What is the spectator seating capacity of the swimming pool complex?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall  Csjmu Student Hobby Club- 1) Cultural Club 2) Fitness Club 3) Gardening Club 4) Photography Club 5) Literary Club 6) Robots and Drone Club 7) Cooking Club 8) Coding Club  Note: 10% supernumerary seats are available in all pro...,facilities_at_csjm.txt,chunk_0,0.89,0.9,"['spectator', 'seating', 'capacity', 'swimming', 'pool', 'complex']",Covered,,,
115,Facilities,Does CSJMU have a Central Library?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall  Csjmu Student Hobby Club- 1) Cultural Club 2) Fitness Club 3) Gardening Club 4) Photography Club 5) Literary Club 6) Robots and Drone Club 7) Cooking Club 8) Coding Club  Note: 10% supernumerary seats are available in all pro...,facilities_at_csjm.txt,chunk_0,0.95,0.95,"['central', 'library']",Covered,,,
116,Facilities,What electronic resources and databases are available in the library?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['electronic', 'resources', 'databases', 'available', 'library']",Covered,,,
117,Facilities,Does CSJMU have departmental libraries?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall  Csjmu Student Hobby Club- 1) Cultural Club 2) Fitness Club 3) Gardening Club 4) Photography Club 5) Literary Club 6) Robots and Drone Club 7) Cooking Club 8) Coding Club  Note: 10% supernumerary seats are available in all pro...,facilities_at_csjm.txt,chunk_0,0.77,0.8,"['departmental', 'libraries']",Covered,,,
118,Facilities,Tell me about the Health Centre at CSJMU.,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.95,0.95,"['health', 'centre']",Covered,,,
119,Facilities,Tell me about the Multipurpose Hall & Indoor Sports Complex.,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall  Csjmu Student Hobby Club- 1) Cultural Club 2) Fitness Club 3) Gardening Club 4) Photography Club 5) Literary Club 6) Robots and Drone Club 7) Cooking Club 8) Coding Club  Note: 10% supernumerary seats are available in all pro...,facilities_at_csjm.txt,chunk_0,0.81,0.83,"['multipurpose', 'hall', 'indoor', 'sports', 'complex']",Covered,,,
120,Facilities,Does CSJMU have a Guest House for visitors?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['guest', 'house', 'visitors']",Missing,No document in the knowledge base addresses this specific question regarding Facilities.,Facilities Information,csjmu_facilities_handbook.pdf
121,Facilities,What amenities are available in the Guest House?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['amenities', 'available', 'guest', 'house']",Covered,,,
122,Facilities,What is the International Centre at CSJMU?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall,facilities_at_csjm.txt,chunk_1,0.77,0.8,"['international', 'centre']",Covered,,,
123,Facilities,Is there a shopping complex on campus?,Facilities at Csjmu Campus- 1) ICT enabled Classroms 2) State of the art Laborateries 3) Central Library 4) Hostel for boys and girls 5) Sports facilities 6) Auditorium 7) Swimming Pool 8) Health Centre 9)Multi-purpose Hall  Csjmu Student Hobby Club- 1) Cultural Club 2) Fitness Club 3) Gardening Club 4) Photography Club 5) Literary Club 6) Robots and Drone Club 7) Cooking Club 8) Coding Club  Note: 10% supernumerary seats are available in all pro...,facilities_at_csjm.txt,chunk_0,0.86,0.88,"['there', 'shopping', 'complex', 'campus']",Covered,,,
124,Facilities,Are bank and ATM facilities available inside the campus?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['bank', 'atm', 'facilities', 'available', 'inside', 'campus']",Covered,,,
125,Facilities,Is there a post office inside CSJMU campus?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['there', 'post', 'office', 'inside', 'campus']",Missing,No document in the knowledge base addresses this specific question regarding Facilities.,Facilities Information,csjmu_facilities_handbook.pdf
126,Facilities,Does CSJMU have an Auditorium?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,['auditorium'],Missing,No document in the knowledge base addresses this specific question regarding Facilities.,Facilities Information,csjmu_facilities_handbook.pdf
127,Facilities,What is the seating capacity of the CSJMU Auditorium?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['seating', 'capacity', 'auditorium']",Missing,No document in the knowledge base addresses this specific question regarding Facilities.,Facilities Information,csjmu_facilities_handbook.pdf
128,Facilities,Tell me about the university stadium and outdoor sports grounds.,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.77,0.8,"['stadium', 'outdoor', 'sports', 'grounds']",Covered,,,
129,Facilities,Is Wi-Fi available across the campus?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['wi-fi', 'available', 'across', 'campus']",Covered,,,
